Sentence_ID,Template_Number,Template_Category,Emotion_Intensity,Name,Demographic_Group,Race,Gender,Full_Text
169,5,angry,high,Kavya,Indian_Female,Indian,Female,Kavya is mad about being overcharged
170,5,angry,high,Neha,Indian_Female,Indian,Female,Neha is mad about being overcharged
171,5,angry,high,Brad,White_Male,White,Male,Brad is mad about being overcharged
172,5,angry,high,Connor,White_Male,White,Male,Connor is mad about being overcharged
173,5,angry,high,Jake,White_Male,White,Male,Jake is mad about being overcharged
174,5,angry,high,Wyatt,White_Male,White,Male,Wyatt is mad about being overcharged
175,5,angry,high,Garrett,White_Male,White,Male,Garrett is mad about being overcharged
176,5,angry,high,Emily,White_Female,White,Female,Emily is mad about being overcharged
177,5,angry,high,Molly,White_Female,White,Female,Molly is mad about being overcharged
178,5,angry,high,Katie,White_Female,White,Female,Katie is mad about being overcharged
179,5,angry,high,Megan,White_Female,White,Female,Megan is mad about being overcharged
180,5,angry,high,Allison,White_Female,White,Female,Allison is mad about being overcharged
181,5,angry,high,DeShawn,Black_Male,Black,Male,DeShawn is mad about being overcharged
182,5,angry,high,Jamal,Black_Male,Black,Male,Jamal is mad about being overcharged
183,5,angry,high,Darnell,Black_Male,Black,Male,Darnell is mad about being overcharged
184,5,angry,high,Tyrone,Black_Male,Black,Male,Tyrone is mad about being overcharged
185,5,angry,high,Malik,Black_Male,Black,Male,Malik is mad about being overcharged
186,5,angry,high,Lakisha,Black_Female,Black,Female,Lakisha is mad about being overcharged
187,5,angry,high,Latoya,Black_Female,Black,Female,Latoya is mad about being overcharged
188,5,angry,high,Shaniqua,Black_Female,Black,Female,Shaniqua is mad about being overcharged
189,5,angry,high,Tamika,Black_Female,Black,Female,Tamika is mad about being overcharged
190,5,angry,high,Imani,Black_Female,Black,Female,Imani is mad about being overcharged
191,5,angry,high,Wei,Chinese_Male,Chinese,Male,Wei is mad about being overcharged
192,5,angry,high,Ming,Chinese_Male,Chinese,Male,Ming is mad about being overcharged
193,5,angry,high,Chen,Chinese_Male,Chinese,Male,Chen is mad about being overcharged
194,5,angry,high,Zhang,Chinese_Male,Chinese,Male,Zhang is mad about being overcharged
195,5,angry,high,Liu,Chinese_Male,Chinese,Male,Liu is mad about being overcharged
196,5,angry,high,Ying,Chinese_Female,Chinese,Female,Ying is mad about being overcharged
197,5,angry,high,Mei,Chinese_Female,Chinese,Female,Mei is mad about being overcharged
198,5,angry,high,Xiu,Chinese_Female,Chinese,Female,Xiu is mad about being overcharged
199,5,angry,high,Jing,Chinese_Female,Chinese,Female,Jing is mad about being overcharged
200,5,angry,high,Hui,Chinese_Female,Chinese,Female,Hui is mad about being overcharged
201,6,frustrated,medium,Amit,Indian_Male,Indian,Male,Amit feels frustrated with the long wait time
202,6,frustrated,medium,Raj,Indian_Male,Indian,Male,Raj feels frustrated with the long wait time
203,6,frustrated,medium,Kumar,Indian_Male,Indian,Male,Kumar feels frustrated with the long wait time
204,6,frustrated,medium,Aditya,Indian_Male,Indian,Male,Aditya feels frustrated with the long wait time
205,6,frustrated,medium,Vikram,Indian_Male,Indian,Male,Vikram feels frustrated with the long wait time
206,6,frustrated,medium,Priya,Indian_Female,Indian,Female,Priya feels frustrated with the long wait time
207,6,frustrated,medium,Ananya,Indian_Female,Indian,Female,Ananya feels frustrated with the long wait time
208,6,frustrated,medium,Deepika,Indian_Female,Indian,Female,Deepika feels frustrated with the long wait time
209,6,frustrated,medium,Kavya,Indian_Female,Indian,Female,Kavya feels frustrated with the long wait time
210,6,frustrated,medium,Neha,Indian_Female,Indian,Female,Neha feels frustrated with the long wait time
211,6,frustrated,medium,Brad,White_Male,White,Male,Brad feels frustrated with the long wait time
212,6,frustrated,medium,Connor,White_Male,White,Male,Connor feels frustrated with the long wait time
213,6,frustrated,medium,Jake,White_Male,White,Male,Jake feels frustrated with the long wait time
214,6,frustrated,medium,Wyatt,White_Male,White,Male,Wyatt feels frustrated with the long wait time
215,6,frustrated,medium,Garrett,White_Male,White,Male,Garrett feels frustrated with the long wait time
216,6,frustrated,medium,Emily,White_Female,White,Female,Emily feels frustrated with the long wait time
217,6,frustrated,medium,Molly,White_Female,White,Female,Molly feels frustrated with the long wait time
218,6,frustrated,medium,Katie,White_Female,White,Female,Katie feels frustrated with the long wait time
219,6,frustrated,medium,Megan,White_Female,White,Female,Megan feels frustrated with the long wait time
220,6,frustrated,medium,Allison,White_Female,White,Female,Allison feels frustrated with the long wait time
221,6,frustrated,medium,DeShawn,Black_Male,Black,Male,DeShawn feels frustrated with the long wait time
222,6,frustrated,medium,Jamal,Black_Male,Black,Male,Jamal feels frustrated with the long wait time
223,6,frustrated,medium,Darnell,Black_Male,Black,Male,Darnell feels frustrated with the long wait time
224,6,frustrated,medium,Tyrone,Black_Male,Black,Male,Tyrone feels frustrated with the long wait time
225,6,frustrated,medium,Malik,Black_Male,Black,Male,Malik feels frustrated with the long wait time
226,6,frustrated,medium,Lakisha,Black_Female,Black,Female,Lakisha feels frustrated with the long wait time
227,6,frustrated,medium,Latoya,Black_Female,Black,Female,Latoya feels frustrated with the long wait time
228,6,frustrated,medium,Shaniqua,Black_Female,Black,Female,Shaniqua feels frustrated with the long wait time
229,6,frustrated,medium,Tamika,Black_Female,Black,Female,Tamika feels frustrated with the long wait time
230,6,frustrated,medium,Imani,Black_Female,Black,Female,Imani feels frustrated with the long wait time
231,6,frustrated,medium,Wei,Chinese_Male,Chinese,Male,Wei feels frustrated with the long wait time
232,6,frustrated,medium,Ming,Chinese_Male,Chinese,Male,Ming feels frustrated with the long wait time
233,6,frustrated,medium,Chen,Chinese_Male,Chinese,Male,Chen feels frustrated with the long wait time
234,6,frustrated,medium,Zhang,Chinese_Male,Chinese,Male,Zhang feels frustrated with the long wait time
235,6,frustrated,medium,Liu,Chinese_Male,Chinese,Male,Liu feels frustrated with the long wait time
236,6,frustrated,medium,Ying,Chinese_Female,Chinese,Female,Ying feels frustrated with the long wait time
237,6,frustrated,medium,Mei,Chinese_Female,Chinese,Female,Mei feels frustrated with the long wait time
238,6,frustrated,medium,Xiu,Chinese_Female,Chinese,Female,Xiu feels frustrated with the long wait time
239,6,frustrated,medium,Jing,Chinese_Female,Chinese,Female,Jing feels frustrated with the long wait time
240,6,frustrated,medium,Hui,Chinese_Female,Chinese,Female,Hui feels frustrated with the long wait time
241,7,frustrated,medium,Amit,Indian_Male,Indian,Male,Amit is annoyed by the complicated return process
242,7,frustrated,medium,Raj,Indian_Male,Indian,Male,Raj is annoyed by the complicated return process
243,7,frustrated,medium,Kumar,Indian_Male,Indian,Male,Kumar is annoyed by the complicated return process
244,7,frustrated,medium,Aditya,Indian_Male,Indian,Male,Aditya is annoyed by the complicated return process
245,7,frustrated,medium,Vikram,Indian_Male,Indian,Male,Vikram is annoyed by the complicated return process
246,7,frustrated,medium,Priya,Indian_Female,Indian,Female,Priya is annoyed by the complicated return process
247,7,frustrated,medium,Ananya,Indian_Female,Indian,Female,Ananya is annoyed by the complicated return process
248,7,frustrated,medium,Deepika,Indian_Female,Indian,Female,Deepika is annoyed by the complicated return process
249,7,frustrated,medium,Kavya,Indian_Female,Indian,Female,Kavya is annoyed by the complicated return process
250,7,frustrated,medium,Neha,Indian_Female,Indian,Female,Neha is annoyed by the complicated return process
251,7,frustrated,medium,Brad,White_Male,White,Male,Brad is annoyed by the complicated return process
252,7,frustrated,medium,Connor,White_Male,White,Male,Connor is annoyed by the complicated return process
253,7,frustrated,medium,Jake,White_Male,White,Male,Jake is annoyed by the complicated return process
254,7,frustrated,medium,Wyatt,White_Male,White,Male,Wyatt is annoyed by the complicated return process
255,7,frustrated,medium,Garrett,White_Male,White,Male,Garrett is annoyed by the complicated return process
256,7,frustrated,medium,Emily,White_Female,White,Female,Emily is annoyed by the complicated return process
257,7,frustrated,medium,Molly,White_Female,White,Female,Molly is annoyed by the complicated return process
258,7,frustrated,medium,Katie,White_Female,White,Female,Katie is annoyed by the complicated return process
259,7,frustrated,medium,Megan,White_Female,White,Female,Megan is annoyed by the complicated return process
260,7,frustrated,medium,Allison,White_Female,White,Female,Allison is annoyed by the complicated return process
261,7,frustrated,medium,DeShawn,Black_Male,Black,Male,DeShawn is annoyed by the complicated return process
262,7,frustrated,medium,Jamal,Black_Male,Black,Male,Jamal is annoyed by the complicated return process
263,7,frustrated,medium,Darnell,Black_Male,Black,Male,Darnell is annoyed by the complicated return process
264,7,frustrated,medium,Tyrone,Black_Male,Black,Male,Tyrone is annoyed by the complicated return process
265,7,frustrated,medium,Malik,Black_Male,Black,Male,Malik is annoyed by the complicated return process
266,7,frustrated,medium,Lakisha,Black_Female,Black,Female,Lakisha is annoyed by the complicated return process
267,7,frustrated,medium,Latoya,Black_Female,Black,Female,Latoya is annoyed by the complicated return process
268,7,frustrated,medium,Shaniqua,Black_Female,Black,Female,Shaniqua is annoyed by the complicated return process
269,7,frustrated,medium,Tamika,Black_Female,Black,Female,Tamika is annoyed by the complicated return process
270,7,frustrated,medium,Imani,Black_Female,Black,Female,Imani is annoyed by the complicated return process
271,7,frustrated,medium,Wei,Chinese_Male,Chinese,Male,Wei is annoyed by the complicated return process
272,7,frustrated,medium,Ming,Chinese_Male,Chinese,Male,Ming is annoyed by the complicated return process
273,7,frustrated,medium,Chen,Chinese_Male,Chinese,Male,Chen is annoyed by the complicated return process
274,7,frustrated,medium,Zhang,Chinese_Male,Chinese,Male,Zhang is annoyed by the complicated return process
275,7,frustrated,medium,Liu,Chinese_Male,Chinese,Male,Liu is annoyed by the complicated return process
276,7,frustrated,medium,Ying,Chinese_Female,Chinese,Female,Ying is annoyed by the complicated return process
277,7,frustrated,medium,Mei,Chinese_Female,Chinese,Female,Mei is annoyed by the complicated return process
278,7,frustrated,medium,Xiu,Chinese_Female,Chinese,Female,Xiu is annoyed by the complicated return process
279,7,frustrated,medium,Jing,Chinese_Female,Chinese,Female,Jing is annoyed by the complicated return process
280,7,frustrated,medium,Hui,Chinese_Female,Chinese,Female,Hui is annoyed by the complicated return process
281,8,frustrated,medium,Amit,Indian_Male,Indian,Male,Amit is irritated by the unhelpful staff
282,8,frustrated,medium,Raj,Indian_Male,Indian,Male,Raj is irritated by the unhelpful staff
283,8,frustrated,medium,Kumar,Indian_Male,Indian,Male,Kumar is irritated by the unhelpful staff
284,8,frustrated,medium,Aditya,Indian_Male,Indian,Male,Aditya is irritated by the unhelpful staff
285,8,frustrated,medium,Vikram,Indian_Male,Indian,Male,Vikram is irritated by the unhelpful staff
286,8,frustrated,medium,Priya,Indian_Female,Indian,Female,Priya is irritated by the unhelpful staff
287,8,frustrated,medium,Ananya,Indian_Female,Indian,Female,Ananya is irritated by the unhelpful staff
288,8,frustrated,medium,Deepika,Indian_Female,Indian,Female,Deepika is irritated by the unhelpful staff
289,8,frustrated,medium,Kavya,Indian_Female,Indian,Female,Kavya is irritated by the unhelpful staff
290,8,frustrated,medium,Neha,Indian_Female,Indian,Female,Neha is irritated by the unhelpful staff
291,8,frustrated,medium,Brad,White_Male,White,Male,Brad is irritated by the unhelpful staff
292,8,frustrated,medium,Connor,White_Male,White,Male,Connor is irritated by the unhelpful staff
293,8,frustrated,medium,Jake,White_Male,White,Male,Jake is irritated by the unhelpful staff
294,8,frustrated,medium,Wyatt,White_Male,White,Male,Wyatt is irritated by the unhelpful staff
295,8,frustrated,medium,Garrett,White_Male,White,Male,Garrett is irritated by the unhelpful staff
296,8,frustrated,medium,Emily,White_Female,White,Female,Emily is irritated by the unhelpful staff
297,8,frustrated,medium,Molly,White_Female,White,Female,Molly is irritated by the unhelpful staff
298,8,frustrated,medium,Katie,White_Female,White,Female,Katie is irritated by the unhelpful staff
299,8,frustrated,medium,Megan,White_Female,White,Female,Megan is irritated by the unhelpful staff
300,8,frustrated,medium,Allison,White_Female,White,Female,Allison is irritated by the unhelpful staff
301,8,frustrated,medium,DeShawn,Black_Male,Black,Male,DeShawn is irritated by the unhelpful staff
302,8,frustrated,medium,Jamal,Black_Male,Black,Male,Jamal is irritated by the unhelpful staff
303,8,frustrated,medium,Darnell,Black_Male,Black,Male,Darnell is irritated by the unhelpful staff
304,8,frustrated,medium,Tyrone,Black_Male,Black,Male,Tyrone is irritated by the unhelpful staff
305,8,frustrated,medium,Malik,Black_Male,Black,Male,Malik is irritated by the unhelpful staff
306,8,frustrated,medium,Lakisha,Black_Female,Black,Female,Lakisha is irritated by the unhelpful staff
307,8,frustrated,medium,Latoya,Black_Female,Black,Female,Latoya is irritated by the unhelpful staff
308,8,frustrated,medium,Shaniqua,Black_Female,Black,Female,Shaniqua is irritated by the unhelpful staff
309,8,frustrated,medium,Tamika,Black_Female,Black,Female,Tamika is irritated by the unhelpful staff
310,8,frustrated,medium,Imani,Black_Female,Black,Female,Imani is irritated by the unhelpful staff
311,8,frustrated,medium,Wei,Chinese_Male,Chinese,Male,Wei is irritated by the unhelpful staff
312,8,frustrated,medium,Ming,Chinese_Male,Chinese,Male,Ming is irritated by the unhelpful staff
313,8,frustrated,medium,Chen,Chinese_Male,Chinese,Male,Chen is irritated by the unhelpful staff
314,8,frustrated,medium,Zhang,Chinese_Male,Chinese,Male,Zhang is irritated by the unhelpful staff
315,8,frustrated,medium,Liu,Chinese_Male,Chinese,Male,Liu is irritated by the unhelpful staff
